platform,video_id,channel_id,channel_name,title,description,published_at,duration_seconds,view_count,like_count,comment_count,share_count,tags,ingested_at,data_source_type,full_content_text,extracted_hashtags,cleaned_text,tokens,token_count,clean_tokens,clean_token_count,clean_text_final
tiktok,tt_7681210485814873351,insidegrab,@insidegrab,"Just how safe is it to do Grab? 🛞 Hear from our Grab Women Driver-Partners from Malaysia and Indonesia, as they discuss","Just how safe is it to do Grab? 🛞 Hear from our Grab Women Driver-Partners from Malaysia and Indonesia, as they discuss ways they feel safe on the road as they do Grab! Want to find out more about how #MoreWomenCan drive and thrive with Grab? Read the gig paper in our bio 🔗 or grb.to/MoreWomenCan #I",2026-09-04 10:00:00+00:00,59,1366661,10072,0,27,"['MoreWomenCan', 'InsideGrab', 'WomenDrivers', 'DriverGrabPerempuan', 'MelajuSyantiek']",2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,"Just how safe is it to do Grab? 🛞 Hear from our Grab Women Driver-Partners from Malaysia and Indonesia, as they discuss Just how safe is it to do Grab? 🛞 Hear from our Grab Women Driver-Partners from Malaysia and Indonesia, as they discuss ways they feel safe on the road as they do Grab! Want to find out more about how #MoreWomenCan drive and thrive with Grab? Read the gig paper in our bio 🔗 or grb.to/MoreWomenCan #I","morewomencan, i",just how safe is it to do grab hear from our grab women driver partners from malaysia and indonesia as they discuss just how safe is it to do grab hear from our grab women driver partners from malaysia and indonesia as they discuss ways they feel safe on the road as they do grab want to find out more about how morewomencan drive and thrive with grab read the gig paper in our bio or grb to morewomencan i,"just, how, safe, is, it, to, do, grab, hear, from, our, grab, women, driver, partners, from, malaysia, and, indonesia, as, they, discuss, just, how, safe, is, it, to, do, grab, hear, from, our, grab, women, driver, partners, from, malaysia, and, indonesia, as, they, discuss, ways, they, feel, safe, on, the, road, as, they, do, grab, want, to, find, out, more, about, how, morewomencan, drive, and, thrive, with, grab, read, the, gig, paper, in, our, bio, or, grb, to, morewomencan",79,"just, safe, grab, hear, grab, women, driver, partners, malaysia, indonesia, discuss, just, safe, grab, hear, grab, women, driver, partners, malaysia, indonesia, discuss, ways, feel, safe, road, grab, want, find, morewomencan, drive, thrive, grab, read, gig, paper, bio, grb, morewomencan",39,just safe grab hear grab women driver partners malaysia indonesia discuss just safe grab hear grab women driver partners malaysia indonesia discuss ways feel safe road grab want find morewomencan drive thrive grab read gig paper bio grb morewomencan
tiktok,tt_7644990870105640200,fanisa_fann,@Fanisa,Gemess avocado outfits 🥑,Gemess avocado outfits 🥑,2026-05-28 17:09:08+00:00,30,89230775,265641,445,17700,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,Gemess avocado outfits 🥑 Gemess avocado outfits 🥑,,gemess avocado outfits gemess avocado outfits,"gemess, avocado, outfits, gemess, avocado, outfits",6,"gemess, avocado, outfits, gemess, avocado, outfits",6,gemess avocado outfits gemess avocado outfits
tiktok,tt_7689673801029733639,inibukanniko,@inibukanniko,"Terjadi erupsi ""G. Semeru"" - Jawa Timur, pada hari Sabtu, 26 September 2026, pukul 05:17 WIB dengan tinggi kolom abu let","Terjadi erupsi ""G. Semeru"" - Jawa Timur, pada hari Sabtu, 26 September 2026, pukul 05:17 WIB dengan tinggi kolom abu letusan teramati ± 900 #gunungsemeru #semeru #jawatimur #erupsi #infojatim",2026-09-26 03:01:49+00:00,31,878344,70688,685,8967,"['gunungsemeru', 'semeru', 'jawatimur', 'erupsi', 'infojatim']",2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,"Terjadi erupsi ""G. Semeru"" - Jawa Timur, pada hari Sabtu, 26 September 2026, pukul 05:17 WIB dengan tinggi kolom abu let Terjadi erupsi ""G. Semeru"" - Jawa Timur, pada hari Sabtu, 26 September 2026, pukul 05:17 WIB dengan tinggi kolom abu letusan teramati ± 900 #gunungsemeru #semeru #jawatimur #erupsi #infojatim","gunungsemeru, semeru, jawatimur, erupsi, infojatim",terjadi erupsi g semeru jawa timur pada hari sabtu 26 september 2026 pukul 05 17 wib dengan tinggi kolom abu let terjadi erupsi g semeru jawa timur pada hari sabtu 26 september 2026 pukul 05 17 wib dengan tinggi kolom abu letusan teramati 900 gunungsemeru semeru jawatimur erupsi infojatim,"terjadi, erupsi, semeru, jawa, timur, pada, hari, sabtu, september, pukul, wib, dengan, tinggi, kolom, abu, let, terjadi, erupsi, semeru, jawa, timur, pada, hari, sabtu, september, pukul, wib, dengan, tinggi, kolom, abu, letusan, teramati, gunungsemeru, semeru, jawatimur, erupsi, infojatim",38,"erupsi, semeru, jawa, timur, sabtu, september, pukul, wib, tinggi, kolom, abu, let, erupsi, semeru, jawa, timur, sabtu, september, pukul, wib, tinggi, kolom, abu, letusan, teramati, gunungsemeru, semeru, jawatimur, erupsi, infojatim",30,erupsi semeru jawa timur sabtu september pukul wib tinggi kolom abu let erupsi semeru jawa timur sabtu september pukul wib tinggi kolom abu letusan teramati gunungsemeru semeru jawatimur erupsi infojatim
tiktok,tt_7689295974195318036,mamaselinaaa,@Alyssa🤍,"Erin emang nangis, tapi dalam keadaan pegang uang 1,7T 🤩😭✨ #andretaulany #promomakangajian #erintaulany #amandarigby #ni","Erin emang nangis, tapi dalam keadaan pegang uang 1,7T 🤩😭✨ #andretaulany #promomakangajian #erintaulany #amandarigby #nikah",2026-09-25 02:35:43+00:00,30,1282237,137855,646,3088,"['andretaulany', 'promomakangajian', 'erintaulany', 'amandarigby', 'nikah']",2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,"Erin emang nangis, tapi dalam keadaan pegang uang 1,7T 🤩😭✨ #andretaulany #promomakangajian #erintaulany #amandarigby #ni Erin emang nangis, tapi dalam keadaan pegang uang 1,7T 🤩😭✨ #andretaulany #promomakangajian #erintaulany #amandarigby #nikah","andretaulany, promomakangajian, erintaulany, amandarigby, ni, andretaulany, promomakangajian, erintaulany, amandarigby, nikah",erin emang nangis tapi dalam keadaan pegang uang 1 7t andretaulany promomakangajian erintaulany amandarigby ni erin emang nangis tapi dalam keadaan pegang uang 1 7t andretaulany promomakangajian erintaulany amandarigby nikah,"erin, emang, nangis, tapi, dalam, keadaan, pegang, uang, andretaulany, promomakangajian, erintaulany, amandarigby, ni, erin, emang, nangis, tapi, dalam, keadaan, pegang, uang, andretaulany, promomakangajian, erintaulany, amandarigby, nikah",26,"erin, emang, nangis, pegang, uang, andretaulany, promomakangajian, erintaulany, amandarigby, ni, erin, emang, nangis, pegang, uang, andretaulany, promomakangajian, erintaulany, amandarigby, nikah",20,erin emang nangis pegang uang andretaulany promomakangajian erintaulany amandarigby ni erin emang nangis pegang uang andretaulany promomakangajian erintaulany amandarigby nikah
tiktok,tt_7687935611629604116,rayhan.putratama,@Rayhan🆒✌️,Trending TikTok Short,Trending TikTok Short,2026-09-21 10:36:46+00:00,30,5229304,104783,1386,6117,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,Trending TikTok Short Trending TikTok Short,,trending tiktok short trending tiktok short,"trending, tiktok, short, trending, tiktok, short",6,"trending, tiktok, short, trending, tiktok, short",6,trending tiktok short trending tiktok short
tiktok,tt_7688655580881489170,aanjaniiiiii,@estianjani,Yasudahlah🤪🤪,Yasudahlah🤪🤪,2026-09-23 09:10:35+00:00,10,1557577,59546,545,2623,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,Yasudahlah🤪🤪 Yasudahlah🤪🤪,,yasudahlah yasudahlah,"yasudahlah, yasudahlah",2,"yasudahlah, yasudahlah",2,yasudahlah yasudahlah
tiktok,tt_7688057869345803538,iniacengg26,@bukanoranggalau_,#xyzbca #api #galaubrutal #lewatberanda,#xyzbca #api #galaubrutal #lewatberanda,2026-09-21 18:31:10+00:00,7,1212335,153558,294,1304054,"['xyzbca', 'api', 'galaubrutal', 'lewatberanda']",2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,#xyzbca #api #galaubrutal #lewatberanda #xyzbca #api #galaubrutal #lewatberanda,"xyzbca, api, galaubrutal, lewatberanda, xyzbca, api, galaubrutal, lewatberanda",xyzbca api galaubrutal lewatberanda xyzbca api galaubrutal lewatberanda,"xyzbca, api, galaubrutal, lewatberanda, xyzbca, api, galaubrutal, lewatberanda",8,"xyzbca, api, galaubrutal, lewatberanda, xyzbca, api, galaubrutal, lewatberanda",8,xyzbca api galaubrutal lewatberanda xyzbca api galaubrutal lewatberanda
tiktok,tt_7689489559872081173,elloco.gonzalez,@Cristian Gonzalez,Dari pemain jadi supporter 🇮🇩❤️ Semoga bisa angkat Piala tahun ini #timnas,Dari pemain jadi supporter 🇮🇩❤️ Semoga bisa angkat Piala tahun ini #timnas,2026-09-25 15:06:48+00:00,14,738672,129641,1551,4030,['timnas'],2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,Dari pemain jadi supporter 🇮🇩❤️ Semoga bisa angkat Piala tahun ini #timnas Dari pemain jadi supporter 🇮🇩❤️ Semoga bisa angkat Piala tahun ini #timnas,"timnas, timnas",dari pemain jadi supporter semoga bisa angkat piala tahun ini timnas dari pemain jadi supporter semoga bisa angkat piala tahun ini timnas,"dari, pemain, jadi, supporter, semoga, bisa, angkat, piala, tahun, ini, timnas, dari, pemain, jadi, supporter, semoga, bisa, angkat, piala, tahun, ini, timnas",22,"pemain, supporter, semoga, angkat, piala, timnas, pemain, supporter, semoga, angkat, piala, timnas",12,pemain supporter semoga angkat piala timnas pemain supporter semoga angkat piala timnas
tiktok,tt_7675252377800215815,dove.indonesia,@dove.indonesia,Who doesn’t love pink? Because I’m obsessed! 🎀,Who doesn’t love pink? Because I’m obsessed! 🎀,2026-08-18 06:19:23+00:00,38,4155899,9782,27,198,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,Who doesn’t love pink? Because I’m obsessed! 🎀 Who doesn’t love pink? Because I’m obsessed! 🎀,,who doesn t love pink because i m obsessed who doesn t love pink because i m obsessed,"who, doesn, love, pink, because, obsessed, who, doesn, love, pink, because, obsessed",12,"doesn, love, pink, obsessed, doesn, love, pink, obsessed",8,doesn love pink obsessed doesn love pink obsessed
tiktok,tt_7684587407311752455,marbles.sphere,@MARBLES,@ADÉLA knows all the baddies are in Indo 💅 #MARBLES #DANIELLA #BEVERLY #QUILLA #KYKA,@ADÉLA knows all the baddies are in Indo 💅 #MARBLES #DANIELLA #BEVERLY #QUILLA #KYKA,2026-09-12 10:04:05+00:00,14,7962028,15556,87,828,"['MARBLES', 'DANIELLA', 'BEVERLY', 'QUILLA', 'KYKA']",2026-09-26 13:11:06.183055+00:00,TIKTOK_LIVE_FYP_FEED,@ADÉLA knows all the baddies are in Indo 💅 #MARBLES #DANIELLA #BEVERLY #QUILLA #KYKA @ADÉLA knows all the baddies are in Indo 💅 #MARBLES #DANIELLA #BEVERLY #QUILLA #KYKA,"marbles, daniella, beverly, quilla, kyka, marbles, daniella, beverly, quilla, kyka",knows all the baddies are in indo marbles daniella beverly quilla kyka knows all the baddies are in indo marbles daniella beverly quilla kyka,"knows, all, the, baddies, are, in, indo, marbles, daniella, beverly, quilla, kyka, knows, all, the, baddies, are, in, indo, marbles, daniella, beverly, quilla, kyka",24,"knows, baddies, indo, marbles, daniella, beverly, quilla, kyka, knows, baddies, indo, marbles, daniella, beverly, quilla, kyka",16,knows baddies indo marbles daniella beverly quilla kyka knows baddies indo marbles daniella beverly quilla kyka
