platform,video_id,channel_id,channel_name,title,description,published_at,duration_seconds,view_count,like_count,comment_count,tags,ingested_at,data_source_type,share_count
youtube,Bu3Mwiynhqg,UCtzXWdNdxmk0jghwiJLn6Fg,RANIA VLOGS 200K,XXL XXL XXL XXL FREESTYLE 2024 |XXL 2025 | Xxwd5000xa | XXL XXL XXL XXL FREESTYLES,XXL XXL XXL XXL FREESTYLE 2024 |XXL 2025 | Xxwd5000xa | XXL XXL XXL XXL FREESTYLES The hottest XXL freestyle is ...,2026-09-26T13:56:55.731620Z,36,294929,14746,884,"['shorts', 'viral', 'shortsviralindonesia']",2026-09-26T13:56:55.731620Z,YOUTUBE_YTDLP_BROAD_SEARCH,
youtube,N5eW7ryjWHs,UCdek_kEkEp4u3IMfd9rZ--g,M K T VLOGS ,XXL XXL XXL XXL FREESTYLE 2024 |XXL 2025 | Xxwd5000xa | XXL XXL XXL XXL FREESTYLES,XXL XXL XXL XXL FREESTYLE 2024 |XXL 2025 | Xxwd5000xa | XXL XXL XXL XXL FREESTYLES The hottest XXL freestyle is ...,2026-09-26T13:56:55.731620Z,33,404052,20202,1212,"['shorts', 'viral', 'shortsviralindonesia']",2026-09-26T13:56:55.731620Z,YOUTUBE_YTDLP_BROAD_SEARCH,
youtube,uF0kzox0BME,UCFSNKwwJbmnFjttVnbM0QQQ,LookUp Channel,#shorts Makanan Asli Indonesia Ini Sangat Diakui Dunia lho,"Rendang sebagai makanan asli Indonesia ternyata mendapat tempat di hata para pecinta kuliner dunia, nyata nya selama ...",2026-09-26T13:56:55.731620Z,42,8930,446,26,"['shorts', 'viral', 'shortskulinerviralindonesia']",2026-09-26T13:56:55.731620Z,YOUTUBE_YTDLP_BROAD_SEARCH,
tiktok,tt_7687620713452260628,someplace505,@￴ ￴,Trending TikTok Short,Trending TikTok Short,2026-09-20T14:14:50Z,9,2292330,637033,3604,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26T13:57:06.147785Z,TIKTOK_LIVE_FYP_FEED,91953.0
tiktok,tt_7673889008321056020,danijf15,@D15,#japanvibes #shinjuku ,#japanvibes #shinjuku ,2026-08-14T14:08:43Z,21,34477,5761,49,"['japanvibes', 'shinjuku']",2026-09-26T13:57:06.147785Z,TIKTOK_LIVE_FYP_FEED,238.0
tiktok,tt_7689120441138662674,dexanna66,@DexAnna,"Prosesi Sakral, Mewangsuh Arca Pratima Ida Bhatara Tirta Empul  Ring Taman Suci Tirta Empul🙏🏁 #fyp#Panjak#TirtaEmpul#Rau","Prosesi Sakral, Mewangsuh Arca Pratima Ida Bhatara Tirta Empul  Ring Taman Suci Tirta Empul🙏🏁 #fyp#Panjak#TirtaEmpul#RauhMelasti#🏁 ",2026-09-24T15:14:27Z,19,276210,20493,49,"['fyp', 'Panjak', 'TirtaEmpul', 'RauhMelasti']",2026-09-26T13:57:06.147785Z,TIKTOK_LIVE_FYP_FEED,2638.0
tiktok,tt_7662716614546066695,dewi.alzena6,@Dewi Alzena,#viralシ゚ #trending #tiktokviral #videoviral #videolucu ,#viralシ゚ #trending #tiktokviral #videoviral #videolucu ,2026-07-15T11:34:06Z,5,372470,14973,14,"['viralシ', 'trending', 'tiktokviral', 'videoviral', 'videolucu']",2026-09-26T13:57:06.147785Z,TIKTOK_LIVE_FYP_FEED,62.0
tiktok,tt_7682057018449972487,yulian_seo.co,@Ⓜ️e⭕️ng✔️🧢™️,"Menikmati hujan di Shinjuku West Exit di malam hari, Kalian dapat melihat Shinjuku Grand Guard, Yamanote Line, dan Kabuk","Menikmati hujan di Shinjuku West Exit di malam hari, Kalian dapat melihat Shinjuku Grand Guard, Yamanote Line, dan Kabukicho. #shinjuku #tokyo #japantrip #foryou ",2026-09-05T14:24:46Z,22,27105,1640,7,"['shinjuku', 'tokyo', 'japantrip', 'foryou']",2026-09-26T13:57:06.147785Z,TIKTOK_LIVE_FYP_FEED,79.0
tiktok,tt_7683544258132856085,ngakaksehatig,@Ngakaksehat,"Momen petugas sensus minta KK asli alias Kartu Keluarga, ibu ini malah literally datang bawa kakak kandungnya. Gak salah","Momen petugas sensus minta KK asli alias Kartu Keluarga, ibu ini malah literally datang bawa kakak kandungnya. Gak salah sih, cuma beda server 😭🤣 . Cr: dimaschandra📹",2026-09-09T14:36:00Z,34,5269,94,2,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26T13:57:06.147785Z,TIKTOK_LIVE_FYP_FEED,45.0
tiktok,tt_7687228045840715016,julian_taraa,@Julian.taraa,Trending TikTok Short,Trending TikTok Short,2026-09-19T12:51:03Z,36,3149777,96848,175,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26T13:57:06.147785Z,TIKTOK_LIVE_FYP_FEED,3924.0
tiktok,tt_7689818477195971862,omotola9488,@TheWild,Too funny gorilla compilation videos 😂🤣😂🤣 #gorilla #gorillababy #silverbackgorilla #compilation #funnyvideo ,Too funny gorilla compilation videos 😂🤣😂🤣 #gorilla #gorillababy #silverbackgorilla #compilation #funnyvideo ,2026-09-26T12:23:14Z,20,5371,159,4,"['gorilla', 'gorillababy', 'silverbackgorilla', 'compilation', 'funnyvideo']",2026-09-26T13:57:06.147785Z,TIKTOK_LIVE_FYP_FEED,9.0
youtube,N5eW7ryjWHs,UCdek_kEkEp4u3IMfd9rZ--g,M K T VLOGS ,XXL XXL XXL XXL FREESTYLE 2024 |XXL 2025 | Xxwd5000xa | XXL XXL XXL XXL FREESTYLES,XXL XXL XXL XXL FREESTYLE 2024 |XXL 2025 | Xxwd5000xa | XXL XXL XXL XXL FREESTYLES The hottest XXL freestyle is ...,2026-09-26T13:57:15.840685Z,33,404197,20209,1212,"['shorts', 'viral', 'shortsviralindonesia']",2026-09-26T13:57:15.840685Z,YOUTUBE_YTDLP_BROAD_SEARCH,
youtube,uF0kzox0BME,UCFSNKwwJbmnFjttVnbM0QQQ,LookUp Channel,#shorts Makanan Asli Indonesia Ini Sangat Diakui Dunia lho,"Rendang sebagai makanan asli Indonesia ternyata mendapat tempat di hata para pecinta kuliner dunia, nyata nya selama ...",2026-09-26T13:57:15.840685Z,42,8930,446,26,"['shorts', 'viral', 'shortskulinerviralindonesia']",2026-09-26T13:57:15.840685Z,YOUTUBE_YTDLP_BROAD_SEARCH,
tiktok,tt_7689370992120040725,universalmusicindonesia,@Universal Music Indonesia,"If you wanna kick it, then we’re with it. 'The Life of a Showgirl: The Encore' featuring ""Patient Zero"" is out now. ✨ #T","If you wanna kick it, then we’re with it. 'The Life of a Showgirl: The Encore' featuring ""Patient Zero"" is out now. ✨ #TSTLOASTheEncore ",2026-09-25T07:26:46Z,30,3968528,2620,7,['TSTLOASTheEncore'],2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,47.0
tiktok,tt_7689496878735445256,nungkye0,@SOFYA,Trending TikTok Short,Trending TikTok Short,2026-09-25T15:35:13Z,55,2066569,31620,2705,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,4435.0
tiktok,tt_7685678141745958164,nabilataqiyyah_,@nabilataqiyyah,striminkkk “Tak Semudah Hompimpa”!,striminkkk “Tak Semudah Hompimpa”!,2026-09-15T08:36:42Z,30,3944518,37754,460,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,1110.0
tiktok,tt_7629731204215999765,crazzy.people1,@kiki🤡,#ad p p apaa #uratmaluputus #liftprank #emoneymurah,#ad p p apaa #uratmaluputus #liftprank #emoneymurah,2026-04-17T14:13:53Z,54,5871330,72866,438,"['ad', 'uratmaluputus', 'liftprank', 'emoneymurah']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,7115.0
tiktok,tt_7689034071099362581,mimumaa_,@icaa💐,"seruu bgt, next kemana lagi yaa🤩 #fyp #foryoupage #viral","seruu bgt, next kemana lagi yaa🤩 #fyp #foryoupage #viral",2026-09-24T09:39:15Z,51,3886831,29906,128,"['fyp', 'foryoupage', 'viral']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,788.0
tiktok,tt_7688348972116675848,tattoojackdannok,@Jack tattoothai,เดินเส้นรอบแรกคับ✍️ (งานแก้ปิดทับรอยเดิมบางส่วน) #ร้านสักด่านนอกชายแดนไทยมาเล🇹🇭🇲🇾  #tattoodannok #ร้านสักสะเดา #ร้านสักห,เดินเส้นรอบแรกคับ✍️ (งานแก้ปิดทับรอยเดิมบางส่วน) #ร้านสักด่านนอกชายแดนไทยมาเล🇹🇭🇲🇾  #tattoodannok #ร้านสักสะเดา #ร้านสักหาดไหญ่ #tattoohatyai   ,2026-09-22T13:20:46Z,26,11750420,435168,8552,"['ร', 'tattoodannok', 'ร', 'ร', 'tattoohatyai']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,227956.0
tiktok,tt_7689401234343611654,championsidn,@Championsidn,"Lagi asyik mancing di tengah perjalanan, seorang penumpang kapal malah dibuat tegang setelah ikan yang tersangkut di kai","Lagi asyik mancing di tengah perjalanan, seorang penumpang kapal malah dibuat tegang setelah ikan yang tersangkut di kail tiba-tiba dikejar hiu. Ikan masih meronta di permukaan, eh si predator langsung muncul dan mengejar dari bawah. Untungnya, si pemancing sempat menarik ikan lebih dulu sebelum dis",2026-09-25T09:24:14Z,40,1355893,14046,116,"['Champions', 'Mancing', 'HiuLaut', 'MomenTegang']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,215.0
tiktok,tt_7689393162929835316,infodepok,@Info Depok,"Warga menemukan seorang bayi di sebuah bangunan kosong pinggir jalan di dekat Bakso Gede Rasa, Jalan Raya Bojonggede-Kem","Warga menemukan seorang bayi di sebuah bangunan kosong pinggir jalan di dekat Bakso Gede Rasa, Jalan Raya Bojonggede-Kemang (Bomang), Kalisuren, Kecamatan Tajur Halang, pada Jumat pagi (25/9/2026). Berdasarkan informasi awal, bayi tersebut ditemukan di sekitar pinggir jalan sebelum kemudian diamanka",2026-09-25T08:52:50Z,51,1623492,159395,1565,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,14235.0
tiktok,tt_7689424576069029141,inkathhh,@Inka Andestha,🖤,🖤,2026-09-25T10:54:36Z,14,1633442,185869,267,"['tiktok', 'fyp', 'viral', 'id']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,1718.0
tiktok,tt_7689613728668601621,miunz0,@Miunz0,nemu tangga super aneh #semuaorang #fyp #fyi #faktamenarik  #faktaunik,nemu tangga super aneh #semuaorang #fyp #fyi #faktamenarik  #faktaunik,2026-09-25T23:08:44Z,26,895581,9249,28,"['semuaorang', 'fyp', 'fyi', 'faktamenarik', 'faktaunik']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,745.0
tiktok,tt_7689182816835390728,ayam.bangkok.sera,@Ayam bangkok Serang,wanita mana yang membuat begini  kalau ada apa apa kenapa gak cerita #bangkokthailand #unggas #ternakayam ,wanita mana yang membuat begini  kalau ada apa apa kenapa gak cerita #bangkokthailand #unggas #ternakayam ,2026-09-24T19:16:32Z,27,1701364,59056,4981,"['bangkokthailand', 'unggas', 'ternakayam']",2026-09-26T13:57:27.518958Z,TIKTOK_LIVE_FYP_FEED,39188.0
